------------------------ MAP
-1:	Void:	 
1:	Floor:	model/map/textures/terrain/0000_tiles.png
2:	Wall:	model/map/textures/terrain/0001_wall_top.png
3:	Wall:	model/map/textures/terrain/0002_wall_bottom.png
4:	Wall:	model/map/textures/terrain/0003_wall_left.png
5:	Wall:	model/map/textures/terrain/0004_wall_right.png
6:	Wall:	model/map/textures/terrain/0005_wall_turn_tl.png
7:	Wall:	model/map/textures/terrain/0006_wall_turn_tr.png
8:	Wall:	model/map/textures/terrain/0007_wall_turn_bl.png
9:	Wall:	model/map/textures/terrain/0008_wall_turn_br.png
10:	Wall:	model/map/textures/terrain/0009_wall_end_left.png
11:	Wall:	model/map/textures/terrain/0010_wall_horizontal.png
12:	Wall:	model/map/textures/terrain/0011_wall_end_right.png
13:	Wall:	model/map/textures/terrain/0012_wall_end_top.png
14:	Wall:	model/map/textures/terrain/0013_wall_vertical.png
15:	Wall:	model/map/textures/terrain/0014_wall_end_bottom.png
16:	Wall:	model/map/textures/terrain/0015_wall_2corner_left.png
17:	Wall:	model/map/textures/terrain/0016_wall_2corner_right.png
18:	Wall:	model/map/textures/terrain/0017_wall_2corner_down.png
19:	Wall:	model/map/textures/terrain/0018_wall_4corner.png
20:	Wall:	model/map/textures/terrain/0019_wall_2corner_up.png
21:	Wall:	model/map/textures/terrain/0020_wall_double_corner_lb.png
22:	Wall:	model/map/textures/terrain/0021_wall_double_corner_rb.png
23:	Wall:	model/map/textures/terrain/0022_wall_double_corner_lt.png
24:	Wall:	model/map/textures/terrain/0023_wall_double_corner_rt.png
25:	Wall:	model/map/textures/terrain/0024_wall_corner_lb.png
26:	Wall:	model/map/textures/terrain/0025__wall_corner_lt.png
27:	Wall:	model/map/textures/terrain/0026_wall_corner_rb.png
28:	Wall:	model/map/textures/terrain/0027_wall_corner_rt.png
29:	Wall:	model/map/textures/terrain/0028_wall_3corner_bottom.png
30:	Wall:	model/map/textures/terrain/0029_wall_3corner_left.png
31:	Wall:	model/map/textures/terrain/0030_wall_3corner_right.png
32:	Wall:	model/map/textures/terrain/0031_wall_3corner_top.png
33:	Wall:	model/map/textures/terrain/0032_wall_3corner_up.png
34:	Wall:	model/map/textures/terrain/0033_wall_3corner_left.png
35:	Wall:	model/map/textures/terrain/0034_wall_3corner_top.png
36:	Wall:	model/map/textures/terrain/0035_wall_3corner_right.png
51:	Wall:	model/map/textures/terrain/0506_wall_3corner_right.png
58:	Wall:	model/map/textures/terrain/0513_wall_34orner_bottom.png
59:	Wall:	model/map/textures/terrain/0514_wall_4orner_bottom.png
60:	Wall:	model/map/textures/terrain/0515_wall_4orner_left.png
46:	Door:	model/map/textures/misc/door_closed.png
61:	Door:	model/map/textures/Door/skull_gate/horizontal_DOWN_look_down.png
62:	Door:	model/map/textures/Door/skull_gate/horizontal_UP_look_up.png
63:	Door:	model/map/textures/Door/skull_gate/vertical_LEFT_look_left.png
64:	Door:	model/map/textures/Door/skull_gate/vertical_RIGHT_look_right.png
65:	Door:	model/map/textures/Door/skull_gate/New_Map_vertical_RIGHT_look_right.png
66:	Door:	model/map/textures/Door/skull_gate/New_Map_horizontal_DOWN_look_down.png
67:	Door:	model/map/textures/Door/skull_gate/New_Map_vertical_LEFT_look_left.png
68:	Door:	model/map/textures/Door/skull_gate/New_Map_horizontal_UP_look_up.png
------------------------ PLAYER
0:	Player:	model/map/textures/player/knight_down2.png
------------------------ ENEMIES
37:	Eyeball_Left:	model/map/textures/enemy/eyeball/eyeball_left_middle.png
38:	Eyeball_Up:	model/map/textures/enemy/eyeball/eyeball_left_middle.png
39:	Eyeball_Right:	model/map/textures/enemy/eyeball/eyeball_right_middle.png
40:	Eyeball_Down:	model/map/textures/enemy/eyeball/eyeball_right_middle.png
41:	Zombie_Left:	model/map/textures/enemy/zombie/zombie_left.png
42:	Zombie_Up:	model/map/textures/enemy/zombie/zombie_left.png
43:	Zombie_Down:	model/map/textures/enemy/zombie/zombie_right.png
44:	Zombie_Right:	model/map/textures/enemy/zombie/zombie_right.png
52:	Shooter_Enemy:	Shooter_Enemy
54:	Shooter_Vertical_Left:	Shooter_Vertical_Left
55:	Shooter_Vertical_Right:	Shooter_Vertical_Right
56:	Shooter_Horizontal_Up:	Shooter_Horizontal_Up
57:	Shooter_Horizontal_Down:	Shooter_Horizontal_Down
------------------------ ITEMS
45:	Key:	model/map/textures/items/key.png
47:	Chest:	model/map/textures/items/chest_closed.png
48:	Sword:	model/map/textures/items/shortsword.png
49:	Health_Potion:	model/map/textures/items/health_potion.png
50:	Key:	model/map/textures/items/key2.png
------------------------ NPCS
53:	Brain_Collector_NPC:	Brain_Collector_NPC


